Ship Date,Num,P. O. #,Name,Item,Qty,Amount,Ship To City,Ship To Address 1,Ship To Address 2,Ship To State,Ship Zip
Total 2294-12,,,,,314,5519.64,,,,,
Total Individual Pack,,,,,2425,36323.53,,,,,
Retail Pack,,,,,,,,,,,
2374-6,,,,,,,,,,,
"Jul 13, 2011",5021,231866,Peterson,"3"":Retail Pack:2374-6",20,1255.20,Auburn,Peterson,1102 D Street NE,WA,98002
Total 2374-6,,,,,20,1255.20,,,,,
2375-6,,,,,,,,,,,
"Jul 19, 2011",5024,285-0706377,Costco Wholesale- Vendor #92843-00,"3"":Retail Pack:2375-6",60,3560.40,Sumner,Costco Depot 285,4000 - B 142nd Ave E,WA,98390
Total 2375-6,,,,,60,3560.40,,,,,
2377-1,,,,,,,,,,,
"Jun 2, 2011",4964,,Costco - Shipped,"3"":Retail Pack:2377-1",14,878.64,Costco,,,WA,
Total 2377-1,,,,,14,878.64,,,,,
Total Retail Pack,,,,,94,5694.24,,,,,
"Total 3""",,,,,2575,43284.98,,,,,
"7""",,,,,,,,,,,
24oz,,,,,,,,,,,
7001-6,,,,,,,,,,,
"Jul 19, 2011",5033,FAX,Edaleen Dairy,"7"":24oz:7001-6",6,216.00,Lynden,Edaleen Dairy,9593 Guide Meridian,WA,98264
Total 7001-6,,,,,6,216.00,,,,,
7003-6,,,,,,,,,,,
"Jul 19, 2011",5033,FAX,Edaleen Dairy,"7"":24oz:7003-6",6,216.00,Lynden,Edaleen Dairy,9593 Guide Meridian,WA,98264
Total 7003-6,,,,,6,216.00,,,,,
7009-6,,,,,,,,,,,
"Jul 19, 2011",5033,FAX,Edaleen Dairy,"7"":24oz:7009-6",4,144.00,Lynden,Edaleen Dairy,9593 Guide Meridian,WA,98264
Total 7009-6,,,,,4,144.00,,,,,
7010-6,,,,,,,,,,,
"Jul 19, 2011",5033,FAX,Edaleen Dairy,"7"":24oz:7010-6",4,144.00,Lynden,Edaleen Dairy,9593 Guide Meridian,WA,98264
Total 7010-6,,,,,4,144.00,,,,,
7012-6,,,,,,,,,,,
"Jul 19, 2011",5033,FAX,Edaleen Dairy,"7"":24oz:7012-6",4,144.00,Lynden,Edaleen Dairy,9593 Guide Meridian,WA,98264
Total 7012-6,,,,,4,144.00,,,,,
7017-6,,,,,,,,,,,
"Jul 19, 2011",5033,FAX,Edaleen Dairy,"7"":24oz:7017-6",6,216.00,Lynden,Edaleen Dairy,9593 Guide Meridian,WA,98264
Total 7017-6,,,,,6,216.00,,,,,
7030-6,,,,,,,,,,,
"Jul 19, 2011",5033,FAX,Edaleen Dairy,"7"":24oz:7030-6",6,216.00,Lynden,Edaleen Dairy,9593 Guide Meridian,WA,98264
Total 7030-6,,,,,6,216.00,,,,,
7040-6,,,,,,,,,,,
"Jul 19, 2011",5033,FAX,Edaleen Dairy,"7"":24oz:7040-6",4,144.00,Lynden,Edaleen Dairy,9593 Guide Meridian,WA,98264
Total 7040-6,,,,,4,144.00,,,,,
7041-6,,,,,,,,,,,
TOTAL,,,,,3095,60465.89,,,,,
